,nodes,edges,average_path
440,3300,4873,38.306396796090645
441,8696,12121,40.29364312834042
442,2818,3223,35.981459016571044
443,3342,4128,34.350722422808154
444,11184,16386,48.571336036317135
445,5234,7338,34.82605114466766
446,605,921,20.288172513819713
447,548,718,22.800978128878153
448,3299,4508,33.19964114307017
449,8104,10968,48.216144764488895
450,1595,2115,32.351760323784724
451,1403,2045,25.708731950995574
452,1184,1613,20.592788318749857
453,2620,3765,35.196525099901194
454,1011,1404,24.408087277570488
455,2121,2883,24.044408564845703
456,1150,1606,26.34945472433496
457,3044,4175,37.03994303291024
458,9893,13876,51.084756367454446
459,3017,4476,30.327104629908852
460,1044,1501,23.767833724556706
461,5209,7025,35.85370403463933
462,2043,2917,29.51221701104989
463,6030,8071,51.80477702162049
464,977,1301,23.5787707434938
465,8421,12623,38.32426170745515
466,4147,5374,50.80697895514004
467,1846,2409,25.423946304468462
468,2570,3558,41.74738948219795
469,1119,1634,24.783901739509943
470,8076,11787,38.1525153763703
471,2649,3739,27.819099780000204
472,4844,6339,38.40479683021269
473,5094,7209,34.54690283306086
474,7404,10401,52.82256682191058
475,846,1273,19.73810622910459
476,3299,4864,31.203466107211128
477,3902,5760,48.68765569053973
478,1662,2209,25.54123586982745
479,1720,2519,28.03882124545098
480,8022,11896,49.12523265794032
481,4101,6809,31.95964172926294
482,527,784,15.235135388633559
483,1824,2346,26.317459171791246
484,4232,5727,41.89964766314345
485,1106,1597,22.407360919051165
486,55338,91606,61.93321885447954
487,7357,10358,42.92289994259221
488,1875,2922,20.966266808964782
489,414,548,18.943175305002868
490,1031,1353,20.937769909504393
491,821,1105,24.212816018537772
492,3088,4322,32.66765652720501
493,3133,4143,41.2002422202737
494,3895,5363,56.48349753710821
495,2820,4009,29.556562988233342
496,6074,8248,37.72346396203235
497,384,574,13.27499456048738
498,7030,9750,43.28409549788349
499,14505,21240,48.992951324580815
500,8366,11129,36.061358394400585
501,2460,3369,29.654660001256378
502,1646,2045,30.82826046010038
503,3056,4413,32.20445390356552
504,2433,3875,25.355118829363793
505,2514,3397,38.113098126812964
506,4194,5642,42.25817855473863
507,1810,2573,26.020780688332433
508,4363,6190,27.555174641327078
509,6996,10067,49.82646842819608
510,1973,2866,28.104213165770354
511,1454,1964,30.965510810531924
512,1044,1518,24.306379328712122
513,8145,11697,45.78572602305222
514,982,1314,25.350351173311243
515,551,724,20.820531265467746
516,3234,5045,34.04288375080651
517,7329,10414,57.62452561040933
518,12861,18170,45.94008009796819
519,2079,3139,22.004434092980773
520,1930,2834,26.185709259005577
521,4212,6200,31.956308072986612
522,4203,6175,29.53384659967841
523,1060,1649,21.940677392342366
524,2188,3246,23.76896009241914
525,356,471,16.855815793638232
526,429,622,16.190172755593316
527,1612,2233,25.40018683585092
528,28088,42102,68.2907545341403
529,669,915,21.607283191464603
530,5271,7303,35.916166615727384
531,4164,6408,29.315844975278534
532,879,1222,19.681518395567544
533,965,1334,22.96767785350332
534,1106,1608,20.360164630603947
535,5688,7905,41.34319593357862
536,329,444,15.67456816665431
537,701,940,20.522494395761157
538,4117,5729,32.56688402138329
